,m,s,k
0,-0.00030580975289922207,2.6373718533980963e-08,1
1,0.38246861219406125,0.010089038258051082,2
2,0.5342116868495941,0.010840573368149772,3
3,0.6518066048622131,0.011542607539433307,4
4,0.75753253698349,0.008306327852221854,5
5,0.8542744958400726,0.00566628781656079,6
6,0.9495788037776947,0.0027674845228953687,7
7,0.9516141998767853,0.002418713952290597,8
8,0.9592322015762329,0.002215350644174393,9
9,0.9674161303043366,0.00270429906724229,10
10,0.9710670340061188,0.002017287566255272,11
11,0.9734531068801879,0.0017960948062523512,12
12,0.9753629446029664,0.0016108150656855627,13
13,0.9772997963428497,0.0017138864439341943,14
14,0.9788893985748292,0.0014790906411625108,15
15,0.9806810557842255,0.0014040681324091336,16
16,0.9821143543720245,0.0012195486115029858,17
17,0.9839237213134766,0.001082494580353467,18
18,0.9852847683429719,0.001027486050991438,19
19,0.9867970907688141,0.0009324756383126963,20
20,0.987993803024292,0.0007861121741606067,21
21,0.989202082157135,0.0008232376327833675,22
22,0.9901558756828308,0.0007760105706802583,23
23,0.9911508965492248,0.0007331132134203639,24
24,0.9920246863365173,0.0006849653717822943,25
25,0.9927674651145935,0.000671385959827505,26
26,0.9934954285621643,0.0006516748155830427,27
27,0.9941452705860138,0.0006113635661993873,28
28,0.9948207235336304,0.0005557204903265823,29
29,0.9953484439849853,0.00048054694699414016,30
30,0.9959250259399414,0.0004597886448766834,31
31,0.9963222575187684,0.0004154266914027886,32
32,0.996742273569107,0.00041974618524741694,33
33,0.9971212935447693,0.0004185971902722903,34
34,0.9974279403686523,0.00037729676526816015,35
35,0.9977019488811493,0.00039195359368612647,36
36,0.9979867494106293,0.0003239292478616759,37
37,0.9982127594947815,0.0002788501504270263,38
38,0.9984272265434265,0.0002615466234529041,39
39,0.998593339920044,0.00025955707257996607,40
40,0.998772314786911,0.00022295708294087056,41
41,0.9989341592788696,0.00020246534457289673,42
42,0.9990454816818237,0.00019200389122693678,43
43,0.9991702044010162,0.0001864747457890098,44
44,0.9992777943611145,0.0001646238444063761,45
45,0.9993766701221466,0.0001445846634086774,46
46,0.9994604790210724,0.0001267098258797988,47
47,0.9995457971096039,0.00011743205451317138,48
48,0.9996043241024017,0.00011011014496581065,49
49,0.9996667289733887,9.223351675510065e-05,50
50,0.9997181105613708,7.56376361141929e-05,51
51,0.9997623646259308,6.71457675536489e-05,52
52,0.9997995078563691,5.9401006030674e-05,53
53,0.9998328554630279,5.1471948846737376e-05,54
54,0.9998610854148865,4.75907820832298e-05,55
55,0.9998848068714142,4.275549797886211e-05,56
56,0.9999039125442505,3.787905674548236e-05,57
57,0.999921875,3.313681410405105e-05,58
58,0.9999371814727783,3.117542377646474e-05,59
59,0.9999503552913666,2.820727138684474e-05,60
60,0.9999613749980927,2.6277198238807557e-05,61
61,0.9999715733528137,2.3686498385381785e-05,62
62,0.9999806928634644,2.1183986636547243e-05,63
63,0.9999872839450836,1.7367720038952468e-05,64
64,0.9999927771091461,1.37292138086388e-05,65
65,0.9999962866306304,1.0361113307774695e-05,66
66,0.9999976348876953,7.66820127818005e-06,67
67,0.9999990165233612,4.528199816550442e-06,68
68,0.9999996054172516,2.7620792388916005e-06,69
69,0.9999997723102569,1.5938282012939459e-06,70
70,1.0,0.0,71
71,1.0,0.0,72
72,1.0,0.0,73
73,1.0,0.0,74
74,1.0,0.0,75
75,1.0,0.0,76
76,1.0,0.0,77
77,1.0,0.0,78
78,1.0,0.0,79
79,1.0,0.0,80
80,1.0,0.0,81
81,1.0,0.0,82
82,1.0,0.0,83
83,1.0,0.0,84
84,1.0,0.0,85
85,1.0,0.0,86
86,1.0,0.0,87
87,1.0,0.0,88
88,1.0,0.0,89
89,1.0,0.0,90
90,1.0,0.0,91
91,1.0,0.0,92
92,1.0,0.0,93
93,1.0,0.0,94
94,1.0,0.0,95
95,1.0,0.0,96
96,1.0,0.0,97
97,1.0,0.0,98
98,1.0,0.0,99
