,m,s,k
0,-0.00011691841820720583,1.6831450005557945e-05,1
1,0.06549007952213287,0.011714739731933713,2
2,0.1110693120956421,0.012969460363865717,3
3,0.14415113359689713,0.023576953915491274,4
4,0.1745308208465576,0.020827688422155686,5
5,0.2064936164021492,0.023741872312107757,6
6,0.2383603236079216,0.02180893928910121,7
7,0.26975984662771224,0.018360804473558347,8
8,0.2883738973736763,0.02269113106805574,9
9,0.3081982934474945,0.021066033649424557,10
10,0.334139164686203,0.017693013712097035,11
11,0.34961404144763947,0.021519901849907794,12
12,0.3700538718700409,0.02484352791779679,13
13,0.38678585410118105,0.02454367568193644,14
14,0.4084354364871979,0.02157218640104086,15
15,0.41981769323349,0.024725943372411983,16
16,0.4281121587753296,0.02260200202634861,17
17,0.4476078623533249,0.027007687482135875,18
18,0.4605299913883209,0.0233794181114779,19
19,0.47642785131931303,0.019541545491901867,20
20,0.49109172224998476,0.02538950502708442,21
21,0.4981244134902954,0.021974256600315864,22
22,0.5064357352256775,0.021684729751728,23
23,0.5154361778497696,0.023499485928247216,24
24,0.5265869957208633,0.022363538625665404,25
25,0.5293627941608429,0.023553741032581798,26
26,0.5425310176610947,0.024164696595042535,27
27,0.5504651379585266,0.021625056812880263,28
28,0.5580702662467957,0.021977560960411705,29
29,0.56704021692276,0.023028724816616317,30
30,0.5720006716251373,0.018205522787555755,31
31,0.5749268209934235,0.019608725964872644,32
32,0.5825474441051484,0.021994348841126717,33
33,0.5899655330181122,0.01867523224155908,34
34,0.5986042070388794,0.02240387327414397,35
35,0.6029689717292785,0.02090037735216975,36
36,0.6050474619865418,0.022570673680397106,37
37,0.6158632922172547,0.017376044598351376,38
38,0.6140510952472686,0.021109557854017937,39
39,0.6166249251365662,0.017899387220387877,40
40,0.6281961631774903,0.018084091645736072,41
41,0.6292700815200806,0.01936912598918673,42
42,0.6333285200595856,0.01825540740158809,43
43,0.6309897196292877,0.020385007537690934,44
44,0.6367961668968201,0.018953881897707588,45
45,0.6404609382152557,0.019638390832913275,46
46,0.6494260323047638,0.018843273636146466,47
47,0.6484710228443146,0.018597627128767658,48
48,0.6528674006462097,0.01929687099935833,49
49,0.6527836287021637,0.014764219830382262,50
50,0.6574117684364319,0.01675924384765802,51
51,0.6612309300899506,0.016067738732114298,52
52,0.6654669260978698,0.016297438783198198,53
53,0.671360125541687,0.016204255471728997,54
54,0.6757013952732086,0.014376329428262332,55
55,0.6751221013069153,0.014051930851868481,56
56,0.6784585988521576,0.012887217198229738,57
57,0.6834641873836518,0.011994545358751581,58
58,0.682175885438919,0.012818324959595591,59
59,0.6834413945674896,0.016215979458460344,60
60,0.6860719215869904,0.014060692662436028,61
61,0.6868557488918304,0.013020273387562616,62
62,0.6909519481658936,0.011578237396833954,63
63,0.690514075756073,0.013449456229918893,64
64,0.6904377508163452,0.013557506620791769,65
65,0.6950131833553315,0.011828262876238659,66
66,0.6961762619018554,0.013345967177409032,67
67,0.6966827571392059,0.01314831887916844,68
68,0.6939006662368774,0.014241539659712657,69
69,0.6999102783203125,0.012733384594892582,70
70,0.7036290061473847,0.011867265967962316,71
71,0.7040721368789673,0.011506870902371796,72
72,0.7053115844726563,0.012040941005126477,73
73,0.7069333600997925,0.009556146822582197,74
74,0.7076304912567138,0.01184804990207709,75
75,0.7060994446277619,0.0132273294488978,76
76,0.7084378206729889,0.01154492904084183,77
77,0.7120994031429291,0.012592353769864615,78
78,0.7143772101402283,0.011460611978930857,79
79,0.7167119216918946,0.01063322185113226,80
80,0.7187984752655029,0.008896621156453555,81
81,0.7167277204990387,0.008869010010662804,82
82,0.7163740789890289,0.010173617008226294,83
83,0.72029057264328,0.009082974834221413,84
84,0.7196681416034698,0.01000174597034483,85
85,0.7186596035957337,0.01159436112555079,86
86,0.7254037594795227,0.007963086418725585,87
87,0.7226871812343597,0.00988239431229163,88
88,0.7249497401714325,0.00933427021468155,89
89,0.7271958422660828,0.011012835366850172,90
90,0.725539059638977,0.010225487629024211,91
91,0.728418756723404,0.00888396695672402,92
92,0.7293946754932403,0.008187082198862763,93
93,0.7291329526901245,0.009284429012349204,94
94,0.729214106798172,0.009471689325024681,95
95,0.7300113296508789,0.009907541102339903,96
96,0.7333307206630707,0.007143745631004221,97
97,0.7334607768058777,0.009213619065834762,98
98,0.7352708458900452,0.009267831279749986,99
