,m,s,k
0,-0.00013811097669531592,1.168046280573172e-05,1
1,0.08132187068462372,0.016500465298011205,2
2,0.14479505479335786,0.031195796565224802,3
3,0.18541235059499742,0.03145735250595241,4
4,0.24018785893917083,0.03455093775987704,5
5,0.2750778603553772,0.03428993566699985,6
6,0.3217882040143013,0.04282957632994567,7
7,0.34210857391357424,0.03880321618499084,8
8,0.38728991746902464,0.039865512511977765,9
9,0.4188879108428955,0.03881043315224819,10
10,0.45184247851371767,0.038260347549612266,11
11,0.4713878917694092,0.041855012059968257,12
12,0.5015526384115219,0.0440434288598637,13
13,0.5342524260282516,0.04103108030526618,14
14,0.5516746360063552,0.04077481998448519,15
15,0.5681659543514251,0.03905389018599393,16
16,0.589672080874443,0.04160818275006313,17
17,0.6020778405666352,0.04245128136506699,18
18,0.621835366487503,0.042746799153885046,19
19,0.6527466690540313,0.036283218815437925,20
20,0.6687927329540253,0.034412202888499284,21
21,0.6893669021129608,0.022065900853192263,22
22,0.6879141116142273,0.034249580774207214,23
23,0.7009732103347779,0.029735073426154737,24
24,0.7056215763092041,0.03495715657314253,25
25,0.7172178876399994,0.028627845552650372,26
26,0.7248376488685608,0.029924451418510543,27
27,0.7350164234638215,0.022525333568031766,28
28,0.7348944592475891,0.020389075646200166,29
29,0.7470408225059509,0.01187608674520911,30
30,0.7509242260456085,0.018962342229664243,31
31,0.7542135798931122,0.013393120847992435,32
32,0.7561975157260895,0.011683162993103515,33
33,0.7566488611698151,0.020916945119825916,34
34,0.7629769837856293,0.01154740500314786,35
35,0.7668301749229431,0.012645059542842106,36
36,0.7687839210033417,0.006959799850960206,37
37,0.7682541489601136,0.011894466316020749,38
38,0.7740176355838776,0.007687095357892064,39
39,0.7744896328449249,0.005780397263938968,40
40,0.776907125711441,0.0054027503301154476,41
41,0.7807253587245941,0.007831233394275404,42
42,0.7806213748455048,0.008836676668767753,43
43,0.7823217904567719,0.005741198650903436,44
44,0.7841444432735443,0.007301745922613602,45
45,0.7860855853557587,0.005185891116472563,46
46,0.7880806124210358,0.005392374695623283,47
47,0.789774284362793,0.0079423389337724,48
48,0.7915499746799469,0.007944291111111943,49
49,0.7921210026741028,0.006446458091493118,50
50,0.7932597386837006,0.005823338695434135,51
51,0.7944076573848724,0.006052648493147227,52
52,0.7972526001930237,0.0052619929464691175,53
53,0.7984317100048065,0.005475192672527041,54
54,0.8001582872867584,0.00546723762039493,55
55,0.8012993121147156,0.006393514819510023,56
56,0.8034563159942627,0.0050764451920962015,57
57,0.8040534460544586,0.0058218653914964055,58
58,0.8053152441978455,0.006289049023883483,59
59,0.8074207949638367,0.006276579604823646,60
60,0.807580622434616,0.005331166016920188,61
61,0.8092090034484863,0.0049486731852227015,62
62,0.8099973773956299,0.00522742189985926,63
63,0.8127735984325409,0.005322437002473297,64
64,0.8132387351989746,0.0053921003371030845,65
65,0.813957701921463,0.005546647596611455,66
66,0.8173666191101074,0.005109696161325785,67
67,0.8148141825199127,0.005343790762658728,68
68,0.8176970529556274,0.006745956351162994,69
69,0.8192892026901245,0.005317482496373858,70
70,0.8201753509044647,0.005569605889176482,71
71,0.8223940789699554,0.005128990235770135,72
72,0.8245639777183533,0.005192034531771531,73
73,0.8240629744529724,0.0051354697356117834,74
74,0.8249370849132538,0.00475294914800938,75
75,0.8267143607139588,0.005621161257454968,76
76,0.8270134866237641,0.005529728063931559,77
77,0.827838306427002,0.004950211724869899,78
78,0.8279779195785523,0.0049799232820189505,79
79,0.8305741035938263,0.005750332117331004,80
80,0.8305344557762147,0.005891002851443742,81
81,0.830678460597992,0.005671382819196201,82
82,0.8321884262561798,0.00540436912585704,83
83,0.8338071489334107,0.0045812747734849495,84
84,0.8348057866096497,0.004468022890456365,85
85,0.8355267488956452,0.005124476232416367,86
86,0.8363901507854462,0.004602478589761924,87
87,0.8376657319068909,0.004672911998630836,88
88,0.8386138927936554,0.004741788942548922,89
89,0.8397206807136536,0.005115717660742341,90
90,0.8398977327346802,0.004743445977322732,91
91,0.8408839190006256,0.005285688389290488,92
92,0.8415052831172943,0.0052882352171896236,93
93,0.8416962230205536,0.004242142526333625,94
94,0.8433902800083161,0.00411556122365703,95
95,0.844374885559082,0.004489536229408904,96
96,0.8449365985393524,0.0049369832994420534,97
97,0.8457322692871094,0.004020610793633013,98
98,0.8460371243953705,0.004471033303193131,99
