,m,s,k
0,-9.8262460087426e-05,2.775578835029388e-06,1
1,0.08298766396939755,0.025771995859556328,2
2,0.1493692934513092,0.03174314016550351,3
3,0.20240432888269425,0.028406616464485775,4
4,0.25207249611616134,0.03708832907700406,5
5,0.28738380879163744,0.03462916991939247,6
6,0.3274485146999359,0.03962137451587861,7
7,0.36518258690834043,0.0353213436709766,8
8,0.3986683613061905,0.03844452920130467,9
9,0.4326221477985382,0.039675615108550215,10
10,0.4569273066520691,0.04258442407915333,11
11,0.4920345681905747,0.03837845316272728,12
12,0.5119006186723709,0.04344601437746862,13
13,0.5313440924882888,0.041171968663883424,14
14,0.5599184143543243,0.03182906364074624,15
15,0.5868689399957657,0.03744485062010205,16
16,0.6008617579936981,0.04038639572611954,17
17,0.6173490965366364,0.042616081877416945,18
18,0.631758440732956,0.04189664221814186,19
19,0.6637649095058441,0.035490884874726285,20
20,0.6869227683544159,0.025922816488297463,21
21,0.6912098276615143,0.0368693850668198,22
22,0.7108534443378448,0.02926011078022456,23
23,0.7106651997566223,0.03235877731956922,24
24,0.724928252696991,0.02526057729339598,25
25,0.7362182521820069,0.022880257842226078,26
26,0.7381794452667236,0.026942307688310452,27
27,0.745919052362442,0.02288918222196657,28
28,0.753479380607605,0.01666810827896027,29
29,0.7559452795982361,0.020596995561673607,30
30,0.7615380704402923,0.017612453921879663,31
31,0.7662175559997558,0.015423143931189891,32
32,0.7724932849407196,0.010218981911076461,33
33,0.7747509682178497,0.009348421437325876,34
34,0.7774135851860047,0.007220457975820285,35
35,0.776262160539627,0.012707337874043084,36
36,0.7803629493713379,0.009728126992014577,37
37,0.7826273334026337,0.007039470425490839,38
38,0.7858084177970887,0.005578392402356685,39
39,0.786138323545456,0.008347405048648657,40
40,0.789089047908783,0.006222133821310416,41
41,0.7910858249664307,0.00548739659788094,42
42,0.7927968466281891,0.005658037672427641,43
43,0.7925646686553955,0.0059004022231871735,44
44,0.7975834703445435,0.004773454811453883,45
45,0.7979757475852967,0.006223756433227385,46
46,0.7988637852668762,0.006855606984996395,47
47,0.8020347940921784,0.00549385988610697,48
48,0.8029135608673096,0.006636952893097024,49
49,0.8051945412158966,0.005252162017423424,50
50,0.8054573726654053,0.005990784015287731,51
51,0.8070649349689484,0.005229781753876539,52
52,0.807957900762558,0.005940450265368595,53
53,0.8110097062587738,0.005630420310952058,54
54,0.8125981068611146,0.005311906814539861,55
55,0.8128513216972351,0.0051481152629342785,56
56,0.8162792122364044,0.00562102031024503,57
57,0.8163136458396911,0.005303811882904801,58
58,0.8175732481479645,0.005786190211250109,59
59,0.8199924969673157,0.005736623267171328,60
60,0.8214670562744141,0.005493498633601024,61
61,0.8206866323947907,0.006050630732221187,62
62,0.8223858344554901,0.005106514233923778,63
63,0.8239060306549072,0.005007551427783028,64
64,0.8263432669639588,0.006375999479652253,65
65,0.8272250854969024,0.005729709553302266,66
66,0.8282216322422028,0.006248179507118956,67
67,0.8296977722644806,0.0051177107909017,68
68,0.8285839307308197,0.004933492363519041,69
69,0.8308076417446136,0.005324847276403408,70
70,0.8318958532810211,0.0050906385981684035,71
71,0.8336295866966248,0.005060564454868758,72
72,0.8333532083034515,0.005138888295561354,73
73,0.8348803544044494,0.004942348285504515,74
74,0.8372416186332703,0.004682089627855023,75
75,0.8370973193645477,0.004303456004078815,76
76,0.839139986038208,0.0044650008703577175,77
77,0.8389294052124023,0.0054730081897558245,78
78,0.8396880280971527,0.005492812893616056,79
79,0.8417932450771332,0.0048346711433539455,80
80,0.8426464200019836,0.00398387622619409,81
81,0.8418825244903565,0.004056724345891672,82
82,0.8438420104980469,0.004055579008363464,83
83,0.8455868983268737,0.004533363928889544,84
84,0.8464053750038147,0.003302995376396063,85
85,0.8477580881118775,0.0047195432483367016,86
86,0.8477389979362487,0.00492315171627659,87
87,0.8499650645256043,0.004315992685931008,88
88,0.8500922632217407,0.004394188457459029,89
89,0.8500889146327972,0.004511752469629444,90
90,0.8508209013938903,0.004412185107325115,91
91,0.8514359772205353,0.004519404751425147,92
92,0.8540046060085297,0.0044521842970675195,93
93,0.8537490773200989,0.005348706987972147,94
94,0.8552813172340393,0.004228054383898813,95
95,0.8551789331436157,0.004095098286974782,96
96,0.8564351427555085,0.004700992858549288,97
97,0.857572215795517,0.0035193603975205933,98
98,0.8584718525409698,0.004358809149150551,99
